;s[1]
0;-1849.4999975970927
1;2705.3889891121
2;-1117.2808216892658
3;1633.275577694654
4;-539.146701718119
5;708.6598436529927
6;-58.76414755916339
7;91.06162109102421
8;229.78514068685624
9;-233.35282081212682
10;823.1435362386736
11;150.11602772022783
12;229.78514068685624
13;150.11602772022783
14;-233.35282081212682
15;91.06162109102421
16;708.660421991722
17;1633.275264678168
18;2705.3896660270234
19;-2422.5134718737813
20;-2058.5018479971905
21;-394.4161236929106
22;-3125.9395294198357
23;660.8286567528081
24;-3568.035372012532
25;1098.89191763229
26;-3609.353926852632
27;1057.2090211815942
28;-3456.446216464872
29;1057.2090211815942
30;-3456.446216464872
31;1098.89191763229
32;-3609.353926852632
33;660.8286567528081
34;-3568.033685076138
35;-394.41612369291096
36;-3125.940794622134
37;-2422.513471873779
38;-2058.5005827948926
39;-58.76414755916339
40;-539.1467017181188
41;-1117.2808216892658
42;-1849.4999975970927
